title,price,location,review
Apple iPhone XS MAX 64GB│256GB│512GB (FACTORY UNLOCKED) ✅1 YEAR WARNTY ✅❖SEALED❖,"IDR6,347,727.27 to IDR7,559,848.48",United States,1 product rating - Apple iPhone XS MAX 64GB│256GB│512GB (FACTORY UNLOCKED) ✅1 YEAR WARNTY ✅❖SEALED❖
Apple iPhone 13 MINI - 128GB 256GB (UNLOCKED)  ✅APPLE WARRANTY✅ ⚫⚪🔴🔵 ✤SEALED✤,"IDR9,999,242.42 to IDR11,211,363.64",United States,2 product ratings - Apple iPhone 13 MINI - 128GB 256GB (UNLOCKED)  ✅APPLE WARRANTY✅ ⚫⚪🔴🔵 ✤SEALED✤
Apple iPhone XR 64GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Good,"IDR3,636,212.12",United States,324 product ratings - Apple iPhone XR 64GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Good
Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent,"IDR9,999,848.48 to IDR12,424,090.91",United States,14 product ratings - Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent
Privacy Tempered Glass Screen Protector For iPhone 11 12 Pro Max 13 XR Cover,"IDR117,913.89",United Kingdom,no review
Apple iPhone 8 A1863 64GB AT&T or GSM Unlocked | GOOD 7.5-8.5/10 ISSUES ,"IDR984,090.91 to IDR1,150,757.58",United States,22 product ratings - Apple iPhone 8 A1863 64GB AT&T or GSM Unlocked | GOOD 7.5-8.5/10 ISSUES 
Ultra Slim Shockproof Case Cover For iPhone 14 11 12 13 PRO MAX Mini X XR XS 7 8,"IDR101,044.95 to IDR117,913.89",United Kingdom,no review
Apple iPhone 12 PRO 128GB │256GB│512GB (UNLOCKED) ✅1 YEAR WARRANTY✅ ✤SEALED✤,"IDR11,817,424.24 to IDR13,332,575.76",United States,no review
"Apple iPhone 11 - Unlocked - 64GB, 128GB, 256GB - All Colours - CA - Grade A","IDR4,527,134.24",Canada,"3 product ratings - Apple iPhone 11 - Unlocked - 64GB, 128GB, 256GB - All Colours - CA - Grade A"
Apple iPhone 11 Pro Max - Unlocked - 64GB / 256GB / 512GB - CA - Grade A,"IDR5,744,700.91",Canada,12 product ratings - Apple iPhone 11 Pro Max - Unlocked - 64GB / 256GB / 512GB - CA - Grade A
"Apple iPhone 11 Pro - Unlocked - 64GB, 256GB, 512GB - All Colours - CA - Grade A","IDR5,412,637.27",Canada,no review
"Apple iPhone 11 - Unlocked - 64GB, 128GB, 256GB - All Colours - CA - Grade B","IDR4,305,758.48 to IDR6,497,378.48",Canada,"21 product ratings - Apple iPhone 11 - Unlocked - 64GB, 128GB, 256GB - All Colours - CA - Grade B"
New Apple iPhone XS 64GB Factory Unlocked T-Mobile AT&T Verizon (GSM+CDMA),"IDR4,848,333.33 to IDR4,999,848.48",United States,2 product ratings - New Apple iPhone XS 64GB Factory Unlocked T-Mobile AT&T Verizon (GSM+CDMA)
Apple iPhone SE 32GB Factory 4G LTE Unlocked Smartphone All Colours Pristine,"IDR961,360.86",United Kingdom,21 product ratings - Apple iPhone SE 32GB Factory 4G LTE Unlocked Smartphone All Colours Pristine
Apple iPhone XS 64GB/256GB Manufacture Unlocked - Canadian Model - Grade B,"IDR3,209,948.48",Canada,no review
